,title,Author,Genre,Like,Url
0,Morgana and Oz,Miyuli,Fantasy,6800000.0,https://www.webtoons.com/en/fantasy/morgana-and-oz/list?title_no=2964
1,Cursed Princess Club,LambCat,Comedy,22700000.0,https://www.webtoons.com/en/comedy/cursed-princess-club/list?title_no=1537
2,I’m the Queen in This Life,Themis / Omin,Fantasy,4900000.0,https://www.webtoons.com/en/fantasy/im-the-queen-in-this-life/list?title_no=4886
3,To The Stars and Back,Peglo,Slice of life,9100000.0,https://www.webtoons.com/en/slice-of-life/to-the-stars-and-back/list?title_no=4047
4,Ten Ways to Get Dumped by a Tyrant,danmyeong / mapzzil,Fantasy,385572.0,https://www.webtoons.com/en/fantasy/ten-ways-to-get-dumped-by-a-tyrant/list?title_no=5811
5,Tower of God,SIU,Fantasy,58600000.0,https://www.webtoons.com/en/fantasy/tower-of-god/list?title_no=95
6,FLOAT,Cj Joaquin / Kate Marchant,Romance,504577.0,https://www.webtoons.com/en/romance/float/list?title_no=5427
7,Tricked into Becoming the Heroine's Stepmother,HARIHEEN / MOKGAMGI,Fantasy,7600000.0,https://www.webtoons.com/en/fantasy/the-wicked-heroines-stepmother/list?title_no=3039
8,The Lazy Lord Masters the Sword,Dodomoon / doip,Fantasy,3300000.0,https://www.webtoons.com/en/fantasy/the-lazy-lord-masters-the-sword/list?title_no=3349
9,Your Smile is a Trap,AENGO,Romance,9200000.0,https://www.webtoons.com/en/romance/your-smile-is-a-trap/list?title_no=2052
10,Everything is Fine,Mike Birchall,Horror,6600000.0,https://www.webtoons.com/en/horror/everything-is-fine/list?title_no=2578
11,The Primal Hunter,UnoDay Studio / Zogarth,Action,41935.0,https://www.webtoons.com/en/action/the-primal-hunter/list?title_no=5970
12,My Giant Nerd Boyfriend,fishball,Slice of life,69000000.0,https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958
13,Blood Reverie,lifelight,Romance,2300000.0,https://www.webtoons.com/en/romance/blood-reverie/list?title_no=2806
14,Cleric of Decay,bori / Senritz,Fantasy,177099.0,https://www.webtoons.com/en/fantasy/cleric-of-decay/list?title_no=5813
15,Dear Nemesis,Velma / ohsso,Drama,2000000.0,https://www.webtoons.com/en/drama/dear-nemesis/list?title_no=4467
16,All Haven Academy,Akiocha,Drama,61096.0,https://www.webtoons.com/en/drama/all-haven-academy/list?title_no=2873
17,I Stole the First Ranker’s Soul,LEE JUNG / EUDAM,Fantasy,388255.0,https://www.webtoons.com/en/fantasy/i-stole-the-first-rankers-soul/list?title_no=5551
18,To You Who Swallowed a Star,ARI,Romance,5700000.0,https://www.webtoons.com/en/romance/to-you-who-swallowed-a-star/list?title_no=2533
19,Dungeons & Artifacts,Zerowater / UMKY,Action,4000000.0,https://www.webtoons.com/en/action/dungeons-and-artifacts/list?title_no=2575
20,To Tame a Fire,hilluhri,Supernatural,1700000.0,https://www.webtoons.com/en/supernatural/to-tame-a-fire/list?title_no=3763
